# NAME: LAKE SUPERIOR MONTHLY NET BASIN SUPPLIES 
# UNITS: cubic metres per second (m3/s)   
# PERIOD OF RECORD: 1900 TO 2025 
# DESCRIPTION: Residual net basin supplies (aggregate of runoff; overlake precipitation and evaporation)  
# are calculated using: lake levels and the outflow from the lake and diversions. 
# The residual net basin supplies are coordinated by the US Army Corps of Engineers
# and Environment and Climate Change Canada under the auspices of the 
# Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# All data for the previous 12 months should be considered provisional. 
# NBS data starting from 1 January 2009 has not yet been coordinated.
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
2006,310.0,-560.0,1140.0,3660.0,4960.0,2180.0,2880.0,-690.0,-830.0,-940.0,-390.0,-330.0 
2007,-990.0,-1760.0,1530.0,3250.0,2340.0,4100.0,2410.0,650.0,3230.0,6270.0,-390.0,-360.0 
2008,290.0,-750.0,580.0,6570.0,4520.0,6310.0,4600.0,860.0,1510.0,-910.0,200.0,-910.0 
2009,-120.0,1080.0,1460.0,4670.0,4090.0,3670.0,1980.0,4430.0,1120.0,500.0,650.0,-260.0 
2010,-1220.0,-1090.0,840.0,970.0,2090.0,4630.0,1440.0,2330.0,2340.0,-1040.0,120.0,-1630.0 
2011,-110.0,-960.0,140.0,4530.0,5620.0,4480.0,3940.0,1040.0,590.0,-60.0,220.0,-1260.0 
2012,-670.0,-480.0,3260.0,2360.0,5300.0,6010.0,2480.0,380.0,-1780.0,1430.0,-990.0,260.0 
2013,-360.0,110.0,850.0,4010.0,8740.0,4870.0,5670.0,3820.0,2050.0,1380.0,830.0,500.0 
2014,-500.0,1530.0,1580.0,5430.0,8270.0,5240.0,4400.0,3530.0,3350.0,2800.0,1460.0,370.0 
2015,-980.0,-300.0,1800.0,3750.0,5560.0,4920.0,3540.0,2840.0,1920.0,-150.0,1740.0,2450.0 
2016,430.0,940.0,2280.0,2690.0,3460.0,6020.0,3920.0,2860.0,2610.0,-200.0,1100.0,-240.0 
2017,190.0,1480.0,660.0,6130.0,5560.0,5430.0,3320.0,4390.0,3310.0,3260.0,-210.0,1520.0 
2018,-500.0,640.0,-70.0,930.0,4590.0,4090.0,4170.0,2660.0,3810.0,5050.0,900.0,-90.0 
2019,90.0,2410.0,1850.0,6240.0,6100.0,3410.0,3750.0,1800.0,4260.0,2100.0,250.0,1100.0 
2020,390.0,-980.0,2880.0,2820.0,3700.0,3950.0,4290.0,2240.0,2450.0,240.0,1390.0,-1600.0 
2021,-650.0,260.0,1960.0,3800.0,2760.0,3880.0,1890.0,1230.0,420.0,360.0,-2040.0,980.0 
2022,-2060.0,750.0,1790.0,6200.0,8420.0,4000.0,3490.0,2440.0,2530.0,400.0,4130.0,-460.0 
2023,440.0,790.0,690.0,7750.0,5260.0,3250.0,2490.0,1710.0,1260.0,-500.0,-930.0,830.0 
2024,-470.0,-130.0,1680.0,4190.0,4100.0,6500.0,1540.0,1480.0,-130.0,-1140.0,1160.0,-490.0 
2025,-760.0,-460.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0 
