dayofyear	superior_sst	michigan-huron_sst	erie_sst	ontario_sst
135	276.13186046511623	277.86372093023255	282.9211627906976	279.15534883720926
136	276.1711627906976	277.9902325581395	283.1046511627907	279.3923255813953
137	276.18418604651157	278.07906976744187	283.32395348837207	279.52581395348835
138	276.1820930232558	278.1702325581395	283.4853488372093	279.6976744186046
139	276.24604651162787	278.31465116279065	283.7425581395348	279.8774418604651
140	276.33860465116277	278.4288372093023	283.99	280.09093023255815
141	276.416976744186	278.5810465116279	284.35325581395347	280.32488372093025
142	276.44186046511624	278.7673255813953	284.7760465116279	280.5806976744186
143	276.43511627906975	278.95755813953485	285.0781395348837	280.9006976744186
144	276.47186046511627	279.0823255813953	285.38558139534877	281.29976744186047
145	276.5062790697674	279.17476744186047	285.5925581395349	281.5618604651163
146	276.5658139534883	279.32523255813953	285.8048837209302	281.7195348837209
147	276.6388372093023	279.45023255813953	286.13511627906973	281.90348837209297
148	276.66581395348834	279.618488372093	286.4402325581395	282.1358139534883
149	276.7106976744186	279.89069767441856	286.7344186046512	282.5109302325581
150	276.7718604651163	280.10418604651164	287.04767441860463	282.89744186046505
151	276.81604651162786	280.2905813953488	287.29837209302326	283.1527906976744
152	276.8758139534884	280.40290697674413	287.5072093023256	283.28627906976743
153	276.9125581395349	280.5606976744186	287.6153488372093	283.4358139534884
154	276.99558139534884	280.7311627906976	287.66860465116275	283.6323255813953
155	277.09348837209296	280.9759302325581	287.77767441860465	283.87790697674416
156	277.1337209302326	281.2087209302325	287.9518604651162	284.1958139534883
157	277.19767441860466	281.43790697674416	288.1920930232558	284.44116279069766
158	277.3174418604651	281.69441860465116	288.5053488372093	284.66116279069763
159	277.3953488372093	281.93511627906975	288.8127906976744	284.87465116279066
160	277.43418604651157	282.07837209302323	289.0176744186046	285.1039534883721
161	277.4362790697674	282.2653488372093	289.2893023255814	285.356976744186
162	277.4409302325581	282.4587209302325	289.596511627907	285.62116279069767
163	277.5062790697674	282.6840697674418	289.9239534883721	285.93511627906975
164	277.596511627907	282.89581395348836	290.12046511627904	286.20348837209303
165	277.67790697674417	283.18790697674416	290.3709302325581	286.4513953488372
166	277.68162790697676	283.41825581395346	290.6193023255814	286.63604651162785
167	277.7541860465116	283.6952325581395	290.77720930232556	286.9651162790697
168	277.8620930232558	283.98325581395346	291.02348837209297	287.2911627906976
169	278.0067441860465	284.3277906976744	291.3088372093023	287.6193023255814
170	278.08790697674414	284.59767441860464	291.4895348837209	287.9788372093023
171	278.1567441860465	284.88104651162786	291.75930232558136	288.3660465116279
172	278.2155813953488	285.2009302325581	291.99279069767437	288.6297674418604
173	278.3437209302325	285.5089534883721	292.2120930232558	288.8916279069767
174	278.4281395348837	285.8153488372093	292.4211627906976	289.1348837209302
175	278.5146511627907	286.0931395348837	292.6048837209302	289.4067441860465
176	278.60046511627905	286.3945348837209	292.69697674418603	289.65441860465114
